"","city","state","city_size","mode","n","percent","moe","state_abb","state_region"
"1923","Butte-Silver Bow (balance)","Montana","Small","Walk",651,4.2,1.3,"MT","West"
"1924","Cabot city","Arkansas","Small","Walk",123,1.1,0.8,"AR","South"
"1925","Calabasas city","California","Small","Walk",27,0.3,0.3,"CA","West"
"1926","Caldwell city","Idaho","Small","Walk",181,1,0.4,"ID","West"
"1927","Caledonia village","Wisconsin","Small","Walk",26,0.2,0.2,"WI","North Central"
"1928","Calexico city","California","Small","Walk",438,3.6,1.4,"CA","West"
"1929","Calumet City city","Illinois","Small","Walk",334,2.3,1,"IL","North Central"
"1930","Camarillo city","California","Small","Walk",392,1.3,0.5,"CA","West"
"1931","Camas city","Washington","Small","Walk",153,1.9,1.1,"WA","West"
"1932","Camden city","New Jersey","Small","Walk",1300,5.5,1.3,"NJ","Northeast"
"1933","Campbell city","California","Small","Walk",306,1.4,0.6,"CA","West"
